model_id,model,seed,corruption,level,level_index,severity,metric,value,clean_value,degradation_from_clean_pp,source
resnet18,ResNet18,42,bin_flip,medium,1,0.05,macro_f1,0.8273993686,0.8882421734,6.08428048,new_inference
resnet18,ResNet18,42,bin_flip,medium,1,0.05,balanced_accuracy,0.8481139731,0.8748348081,2.672083499,new_inference
resnet18,ResNet18,123,bin_flip,medium,1,0.05,accuracy,0.9556335042,0.978645492,2.301198782,new_inference
resnet18,ResNet18,123,bin_flip,medium,1,0.05,macro_f1,0.8166555389,0.8915091587,7.48536198,new_inference
resnet18,ResNet18,123,bin_flip,medium,1,0.05,balanced_accuracy,0.8391747149,0.8774332636,3.82585487,new_inference
resnet18,ResNet18,2026,bin_flip,medium,1,0.05,accuracy,0.9570211618,0.9783756697,2.135450796,new_inference
resnet18,ResNet18,2026,bin_flip,medium,1,0.05,macro_f1,0.8218651174,0.8880141331,6.614901573,new_inference
resnet18,ResNet18,2026,bin_flip,medium,1,0.05,balanced_accuracy,0.8402897752,0.8775136953,3.72239201,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,heavy,2,0.1,accuracy,0.9379023243,0.9681609683,3.025864395,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,heavy,2,0.1,macro_f1,0.65867313,0.8038636153,14.51904852,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,heavy,2,0.1,balanced_accuracy,0.6884965176,0.7821177848,9.362126722,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,heavy,2,0.1,accuracy,0.9149674286,0.9673129553,5.234552673,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,heavy,2,0.1,macro_f1,0.6363827769,0.8064110984,17.00283215,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,heavy,2,0.1,balanced_accuracy,0.6817622575,0.7862752647,10.45130072,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,heavy,2,0.1,accuracy,0.9428362179,0.9677755078,2.493928998,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,heavy,2,0.1,macro_f1,0.6380091805,0.804565105,16.65559245,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,heavy,2,0.1,balanced_accuracy,0.6428634168,0.7879801505,14.51167337,new_inference
resnet18,ResNet18,42,bin_flip,heavy,2,0.1,accuracy,0.9480784797,0.9786840381,3.060555834,new_inference
resnet18,ResNet18,42,bin_flip,heavy,2,0.1,macro_f1,0.7184886747,0.8882421734,16.97534987,new_inference
resnet18,ResNet18,42,bin_flip,heavy,2,0.1,balanced_accuracy,0.726076181,0.8748348081,14.87586271,new_inference
resnet18,ResNet18,123,bin_flip,heavy,2,0.1,accuracy,0.9486181243,0.978645492,3.002736769,new_inference
resnet18,ResNet18,123,bin_flip,heavy,2,0.1,macro_f1,0.7247166662,0.8915091587,16.67924925,new_inference
resnet18,ResNet18,123,bin_flip,heavy,2,0.1,balanced_accuracy,0.7348758294,0.8774332636,14.25574342,new_inference
resnet18,ResNet18,2026,bin_flip,heavy,2,0.1,accuracy,0.9433758625,0.9783756697,3.499980727,new_inference
resnet18,ResNet18,2026,bin_flip,heavy,2,0.1,macro_f1,0.7048803175,0.8880141331,18.31338156,new_inference
resnet18,ResNet18,2026,bin_flip,heavy,2,0.1,balanced_accuracy,0.7215685281,0.8775136953,15.59451672,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,translation,light,0,2,accuracy,0.9633041668,0.9681609683,0.4856801449,new_inference
